house_type,house_size,location,latitude,longitude,price,numBathrooms,SecurityDeposit,Status
3 BHK Apartment ,"1,300 sq ft",Ghansoli,19.12399673,72.9980545,48500,2.0," 1,40,000",Unfurnished
2 BHK Apartment ,"1,148 sq ft",Andheri East,19.12240219,72.88565063,60000,2.0,No Deposit,Unfurnished
2 BHK Apartment ,"1,050 sq ft",Kanjurmarg,19.1315136,72.92739868,35000,2.0,No Deposit,Unfurnished
3 BHK Apartment ,"1,500 sq ft",Chembur,19.05865669,72.90431213,95000,3.0,No Deposit,Unfurnished
1 BHK Apartment ,526 sq ft,Goregaon East,19.1560955,72.88613892,16000,1.0,No Deposit,Furnished
2 BHK Apartment ,850 sq ft,Tardeo,18.96496964,72.80918121,100000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,"1,000 sq ft",Bandra West,19.06116676,72.82977295,145000,3.0,No Deposit,Semi-Furnished
1 BHK Apartment ,645 sq ft,Kalyan West,19.25686646,73.14007568,9500,1.0," 60,000",Semi-Furnished
2 BHK Apartment ,820 sq ft,Bandra West,19.05956078,72.82952881,100000,2.0,No Deposit,Semi-Furnished
1 BHK Apartment ,675 sq ft,Shil Phata,19.15661049,73.0639801,11500,1.0,No Deposit,Unfurnished
2 BHK Apartment ,952 sq ft,Kandivali East,19.21288109,72.87340546,63000,2.0,No Deposit,Furnished
2 BHK Apartment ,"1,050 sq ft",Koper Khairane,19.1027832,73.01050568,37000,2.0,No Deposit,Semi-Furnished
1 BHK Apartment ,550 sq ft,Dahisar,19.25613785,72.85214233,21000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,"1,015 sq ft",Kalyan East,19.22709465,73.14144897,13000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,"1,138 sq ft",Kharghar,19.03727913,73.07691193,22000,2.0," 1,00,000",Unfurnished
2 BHK Apartment ,780 sq ft,Andheri West,19.14356232,72.82190704,70000,2.0,No Deposit,Furnished
3 BHK Apartment ,"1,641 sq ft",Panvel,18.92134094,73.19820404,25000,3.0,No Deposit,Unfurnished
3 BHK Apartment ,"1,460 sq ft",Balkum,19.21784973,72.98886871,37000,3.0," 1,60,000",Semi-Furnished
2 BHK Apartment ,770 sq ft,Thane West,19.18902206,72.96759033,40000,2.0,No Deposit,Unfurnished
2 BHK Apartment ,"1,325 sq ft",Kharghar,19.07118607,73.07369232,26000,2.0," 1,00,000",Semi-Furnished
2 BHK Apartment ,850 sq ft,Thane West,19.21688843,72.99127197,22000,2.0," 1,00,000",Semi-Furnished
1 BHK Apartment ,680 sq ft,Ulwe,18.97845078,73.04993439,8000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,850 sq ft,Santacruz East,19.07924843,72.853508,65000,2.0,No Deposit,Furnished
1 BHK Apartment ,340 sq ft,Goregaon East,19.15221214,72.88626099,17000,1.0," 30,000",Furnished
2 BHK Apartment ,950 sq ft,Khar,19.06867599,72.83633423,150000,2.0,No Deposit,Semi-Furnished
3 BHK Apartment ,"1,600 sq ft",Bandra West,19.05635643,72.8288269,150000,3.0,No Deposit,Furnished
1 BHK Apartment ,580 sq ft,Andheri West,19.13508415,72.81461334,32000,1.0,No Deposit,Semi-Furnished
1 BHK Apartment ,665 sq ft,Karanjade,18.97410583,73.10845184,7500,2.0,No Deposit,Unfurnished
2 BHK Apartment ,890 sq ft,Panvel,19.00345802,73.1131897,17000,2.0," 1,00,000",Unfurnished
3 BHK Apartment ,"1,450 sq ft",Andheri West,19.13183212,72.83072662,90000,3.0," 3,00,000",Furnished
2 BHK Apartment ,950 sq ft,Powai,19.11101151,72.89859772,80000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,865 sq ft,Vikhroli,19.11166382,72.92677307,50000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,600 sq ft,Virar,19.46762085,72.79753113,7500,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,785 sq ft,Kandivali West,19.20372581,72.83464813,35000,2.0," 1,50,000",Semi-Furnished
2 BHK Apartment ,"1,325 sq ft",Kharghar,19.07118607,73.07369232,22000,2.0," 1,00,000",Unfurnished
2 BHK Apartment ,740 sq ft,Kanjurmarg,19.1315136,72.92739868,28000,2.0,No Deposit,Semi-Furnished
1 BHK Apartment ,575 sq ft,Mahape,19.11924934,73.02577209,15000,2.0," 45,000",Unfurnished
2 BHK Apartment ,"1,000 sq ft",Rasayani,18.90357018,73.17067719,8500,2.0," 25,000",Unfurnished
2 BHK Apartment ,792 sq ft,Powai,19.10760689,72.8992157,75000,2.0," 2,00,000",Furnished
2 BHK Apartment ,986 sq ft,Goregaon West,19.16894722,72.84313965,70000,2.0," 2,00,000",Unfurnished
1 BHK Apartment ,650 sq ft,Ghansoli,19.12399673,72.9980545,16500,2.0," 40,000",Unfurnished
1 BHK Apartment ,465 sq ft,Dombivali East,19.18841743,73.08371735,12000,2.0,No Deposit,Unfurnished
1 BHK Apartment ,650 sq ft,Thane West,19.18860817,72.97050476,30000,1.0,No Deposit,Unfurnished
2 BHK Apartment ,"1,070 sq ft",Andheri West,19.13312721,72.83476257,55000,2.0,No Deposit,Unfurnished
2 BHK Apartment ,600 sq ft,Malad West,19.18503952,72.81951141,52000,2.0,No Deposit,Furnished
2 BHK Apartment ,906 sq ft,Dombivali,19.14808083,73.07962036,12500,2.0," 45,000",Unfurnished
1 BHK Apartment ,700 sq ft,Airoli,19.14605331,72.99641418,17000,1.0,No Deposit,Semi-Furnished
1 BHK Apartment ,600 sq ft,Andheri East,19.10876465,72.86569214,50000,2.0,No Deposit,Furnished
1 BHK Apartment ,684 sq ft,Ghansoli,19.11493874,73.00551605,22000,2.0," 60,000",Semi-Furnished
6 BHK penthouse ,"6,500 sq ft",Bandra West,19.06009293,72.83030701,1189500,5.0," 50,00,000",Furnished
2 BHK Apartment ,760 sq ft,Santacruz West,19.08450127,72.83721161,140000,2.0," 2,50,000",Semi-Furnished
2 BHK Apartment ,900 sq ft,Ville Parle East,19.0951004,72.8605957,85000,2.0,No Deposit,Unfurnished
2 BHK Apartment ,"1,080 sq ft",Shil Phata,19.1433239,73.04677582,22000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,950 sq ft,Govandi,19.04832649,72.91680908,75000,2.0,No Deposit,Furnished
2 BHK Apartment ,700 sq ft,Malabar Hill,18.95371056,72.8004303,90000,2.0,No Deposit,Furnished
2 BHK Apartment ,"1,150 sq ft",Goregaon West,19.15725327,72.84050751,75000,2.0,No Deposit,Semi-Furnished
3 BHK Apartment ,"1,377 sq ft",Jogeshwari East,19.14051628,72.86472321,120000,2.0,No Deposit,Semi-Furnished
1 BHK Apartment ,425 sq ft,Kandivali West,19.20246506,72.82470703,17000,1.0," 50,000",Unfurnished
2 BHK Apartment ,670 sq ft,Thane West,19.22859192,72.98720551,35000,2.0,No Deposit,Furnished
3 BHK Apartment ,"1,000 sq ft",Chembur,19.04962349,72.90715027,70000,3.0,No Deposit,Semi-Furnished
2 BHK Apartment ,"1,250 sq ft",Ghansoli,19.12399673,72.9980545,29500,2.0," 80,000",Unfurnished
2 BHK Apartment ,890 sq ft,Thane West,19.26374054,72.97973633,30000,2.0,No Deposit,Semi-Furnished
3 BHK Apartment ,"1,283 sq ft",Borivali East,19.22639465,72.86008453,65000,3.0," 3,00,000",Unfurnished
1 RK Studio Apartment ,260 sq ft,Andheri East,19.11686325,72.86997986,21000,1.0,No Deposit,Furnished
1 BHK Apartment ,500 sq ft,Dombivali East,19.20380211,73.09098053,7000,1.0,No Deposit,Unfurnished
3 BHK Apartment ,"1,200 sq ft",Bandra West,19.06009293,72.83030701,200000,4.0," 4,00,000",Semi-Furnished
2 BHK Apartment ,850 sq ft,Thane West,19.25103378,72.97314453,25000,2.0,No Deposit,Furnished
1 BHK Apartment ,500 sq ft,Nala Sopara,19.42853355,72.81442261,11000,1.0," 50,000",Unfurnished
2 BHK Apartment ,910 sq ft,Kharghar,19.0951004,72.8605957,35000,2.0,No Deposit,Unfurnished
2 BHK Apartment ,"1,000 sq ft",Santacruz East,19.07627678,72.86540222,45000,3.0,No Deposit,Unfurnished
3 BHK Apartment ,"1,100 sq ft",Tardeo,18.96496964,72.80918121,105000,3.0,No Deposit,Semi-Furnished
1 BHK Apartment ,650 sq ft,Kurla,19.06987572,72.87733459,50000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,876 sq ft,Belapur,19.01469612,73.03904724,30000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,"1,105 sq ft",Chembur,19.04992294,72.90982056,63000,2.0," 3,00,000",Semi-Furnished
2 BHK Apartment ,"1,050 sq ft",Chembur,19.0642128,72.89389801,65000,2.0,No Deposit,Unfurnished
1 RK Studio Apartment ,450 sq ft,Badlapur East,19.144207,73.24699402,3000,1.0,No Deposit,Unfurnished
2 BHK Apartment ,"1,178 sq ft",Kharghar,19.03282738,73.07387543,26000,2.0," 1,00,000",Semi-Furnished
2 BHK Apartment ,"1,050 sq ft",Andheri West,19.12146759,72.82640076,85000,2.0," 3,00,000",Furnished
2 BHK Apartment ,"1,050 sq ft",Goregaon East,19.1738739,72.87392426,54000,2.0," 2,00,000",Semi-Furnished
3 BHK Apartment ,"1,900 sq ft",Borivali East,19.22581863,72.8638916,75000,3.0," 3,00,000",Unfurnished
2 BHK Apartment ,"1,160 sq ft",Andheri East,19.12512779,72.88330078,49880,2.0,No Deposit,Furnished
1 BHK Apartment ,610 sq ft,Kalyan West,19.25731087,73.12992096,14500,1.0,No Deposit,Unfurnished
1 BHK Apartment ,645 sq ft,Dombivali,19.16758537,73.07501221,11500,1.0,No Deposit,Unfurnished
4 BHK Apartment ,"2,465 sq ft",Goregaon East,19.17181015,72.87014771,87000,4.0," 5,00,000",Semi-Furnished
2 BHK Apartment ,"1,050 sq ft",Andheri West,19.12341118,72.82142639,52000,2.0,No Deposit,Unfurnished
2 BHK Apartment ,"1,115 sq ft",Kharghar,19.06905174,73.08538818,25200,2.0,No Deposit,Semi-Furnished
4 BHK Apartment ,"2,400 sq ft",Prabhadevi,19.01035881,72.83055115,575000,5.0,No Deposit,Semi-Furnished
2 BHK Apartment ,850 sq ft,Chembur,19.0642128,72.89389801,68000,2.0,No Deposit,Unfurnished
1 BHK Apartment ,630 sq ft,Ulwe,18.98289299,73.02715302,8500,2.0,No Deposit,Unfurnished
1 BHK Apartment ,685 sq ft,Seawoods,19.01551437,73.01852417,24000,2.0," 1,00,000",Semi-Furnished
2 BHK Apartment ,954 sq ft,Borivali West,19.25900841,72.85482025,35000,2.0," 1,50,000",Semi-Furnished
1 BHK Apartment ,600 sq ft,Ghansoli,19.12399673,72.9980545,11800,1.0," 30,800",Unfurnished
2 BHK Apartment ,950 sq ft,Kanjurmarg,19.13684273,72.93132019,35000,2.0,No Deposit,Semi-Furnished
3 BHK Apartment ,"1,350 sq ft",Parel,19.00310326,72.85025024,140000,1.0,No Deposit,Semi-Furnished
2 BHK Apartment ,800 sq ft,Jogeshwari East,19.12950706,72.85144043,45000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,925 sq ft,Mira Road East,19.28388023,72.87950897,25000,2.0," 50,000",Semi-Furnished
4 BHK Apartment ,"1,800 sq ft",Santacruz West,19.08087349,72.83625031,400000,5.0," 8,00,000",Semi-Furnished
2 BHK Apartment ,580 sq ft,Andheri West,19.13805008,72.82532501,75000,2.0,No Deposit,Unfurnished
2 BHK Apartment ,"1,250 sq ft",Ghansoli,19.11301613,73.00727081,39999,2.0,No Deposit,Unfurnished
3 BHK Apartment ,"1,600 sq ft",Bandra West,19.06009293,72.83030701,400000,4.0," 8,00,000",Furnished
2 BHK Apartment ,"1,008 sq ft",Mulund West,19.15857124,72.94791412,38000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,980 sq ft,Ulwe,18.97223091,73.02945709,28000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,"1,250 sq ft",Kharghar,19.04444313,73.0790863,28500,2.0,No Deposit,Unfurnished
1 BHK Apartment ,450 sq ft,Andheri East,19.10863876,72.86625671,25000,1.0,No Deposit,Semi-Furnished
3 BHK Apartment ,"1,196 sq ft",Borivali East,19.23482323,72.86389923,50000,3.0," 2,00,000",Unfurnished
2 BHK Apartment ,950 sq ft,Kandivali West,19.19696426,72.84853363,55000,3.0,No Deposit,Semi-Furnished
2 BHK Apartment ,"1,402 sq ft",Santacruz West,19.08271599,72.83628082,100000,2.0,No Deposit,Furnished
2 BHK Apartment ,"1,050 sq ft",Andheri West,19.14388466,72.82450867,68000,2.0,No Deposit,Furnished
6 BHK Apartment ,"3,640 sq ft",Goregaon East,19.17149162,72.86368561,220000,6.0," 10,00,000",Semi-Furnished
1 BHK Apartment ,275 sq ft,Dadar East,19.01052475,72.84575653,18500,1.0,No Deposit,Unfurnished
2 BHK Apartment ,"1,200 sq ft",Sector 21 Ghansoli,19.13016319,72.99938202,26000,2.0," 1,00,000",Unfurnished
2 BHK Apartment ,965 sq ft,Dombivali,19.14562988,73.07802582,10500,2.0,No Deposit,Unfurnished
1 BHK Apartment ,625 sq ft,Powai,19.11888885,72.90911865,50000,1.0,No Deposit,Semi-Furnished
3 BHK Apartment ,"2,500 sq ft",Mahalaxmi,18.98705864,72.82733154,325000,4.0,No Deposit,Semi-Furnished
1 BHK Apartment ,650 sq ft,Andheri East,19.00169182,72.818573,78500,1.0,No Deposit,Furnished
1 BHK Apartment ,406 sq ft,Rasayani,18.89098167,73.19636536,8000,1.0," 25,000",Unfurnished
2 BHK Apartment ,910 sq ft,Powai,19.11554909,72.90008545,65000,2.0,No Deposit,Furnished
1 BHK Apartment ,630 sq ft,Borivali West,19.25287247,72.8502655,26000,2.0," 50,000",Semi-Furnished
2 BHK Apartment ,"1,050 sq ft",Thane West,19.2564106,72.99015045,48000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,800 sq ft,Andheri West,19.12084579,72.82424164,63000,2.0,No Deposit,Semi-Furnished
1 BHK Apartment ,530 sq ft,Andheri East,19.12290573,72.88780212,32000,2.0,No Deposit,Unfurnished
1 BHK Apartment ,550 sq ft,Mira Road East,19.28962708,72.87622833,13500,2.0,No Deposit,Semi-Furnished
4 BHK Apartment ,"3,340 sq ft",Napeansea Road,18.94491959,72.79441071,525000,4.0,No Deposit,Furnished
1 BHK Apartment ,570 sq ft,Naigaon East,19.35957909,72.85820007,7999,1.0,No Deposit,Unfurnished
3 BHK Apartment ,"1,380 sq ft",Bhandup West,19.14082146,72.93312836,57000,0.0,No Deposit,Unfurnished
1 BHK Apartment ,550 sq ft,Ghansoli,19.12399673,72.9980545,9350,1.0,No Deposit,Unfurnished
2 BHK Apartment ,953 sq ft,Kandivali East,19.21415329,72.87637329,43000,2.0,No Deposit,Unfurnished
1 BHK Apartment ,600 sq ft,colaba post office,18.91119385,72.82083893,65000,1.0," 2,00,000",Semi-Furnished
1 BHK Apartment ,675 sq ft,Mahape,19.11924934,73.02577209,21500,2.0," 60,000",Unfurnished
2 BHK Apartment ,918 sq ft,Dombivali,19.16758537,73.07501221,16500,2.0,No Deposit,Unfurnished
